t,x,y,z,speed,mach,vx,vy,vz,ax,ay,az,a_thrust_x,a_thrust_y,a_thrust_z,drag_x,drag_y,drag_z,drag_magnitude,rho,dynamic_pressure,thrust_factor,mass,fuel,kinetic_energy,potential_energy,total_energy,pos_error_x,pos_error_y,pos_error_z,pos_error_magnitude,correction_x,correction_y,correction_z,wind_x,wind_y,vel_rel_magnitude,phase
0,1,1,1,0,0,0,0,0,71.8783,19.6022,119.234,71.8783,19.6022,129.044,-7.97781e-09,-3.36843e-09,-0,2.61478e-06,1.22486,0.000215741,1,301.945,154.945,0,2962.08,2962.08,54999,14999,-1,57007.5,0,0,0,-0.0172908,-0.00730062,0.0187689,0
0.01,1.00719,1.00196,1.01192,1.40596,0.00413169,0.718783,0.196022,1.19234,71.8914,19.6058,119.257,71.8914,19.6058,129.067,-2.56251e-05,-7.07834e-06,-4.15091e-05,0.0148809,1.22485,1.2278,1,301.89,154.89,298.379,2996.85,3295.23,54999,14999,-1.01192,57007.5,0,0,0,-0.0172908,-0.00730062,1.41591,0
0.02,1.02156,1.00588,1.03577,2.8122,0.00826417,1.4377,0.39208,2.38491,71.9044,19.6093,119.28,71.9045,19.6094,129.091,-0.000100976,-2.7717e-05,-0.000165512,0.0591155,1.22485,4.87752,1,301.835,154.835,1193.53,3066.92,4260.45,54999,14999,-1.03577,57007.5,0,0,0,-0.0172908,-0.00730062,2.8221,0
0.03,1.04313,1.01176,1.07155,4.21871,0.0123975,2.15674,0.588174,3.57771,71.9174,19.6129,119.304,71.9176,19.6129,129.114,-0.000226113,-6.19331e-05,-0.000372104,0.132723,1.22485,10.9507,1,301.78,154.78,2685.46,3172.28,5857.74,54999,14999,-1.07155,57007.5,0,0,0,-0.0172908,-0.00730062,4.22859,0
0.04,1.07189,1.01961,1.11926,5.62548,0.0165315,2.87592,0.784303,4.77075,71.9303,19.6164,119.327,71.9307,19.6165,129.138,-0.00040109,-0.000109741,-0.000661376,0.235719,1.22484,19.4488,1,301.725,154.725,4774.2,3312.91,8087.11,54998.9,14999,-1.11926,57007.5,0,0,0,-0.0172908,-0.00730062,5.63536,0
0.05,1.10784,1.02941,1.1789,7.03252,0.0206664,3.59522,0.980467,5.96402,71.9432,19.6199,119.35,71.9439,19.6201,129.161,-0.000625959,-0.000171156,-0.00103342,0.36812,1.22483,30.373,1,301.67,154.67,7459.75,3488.81,10948.6,54998.9,14999,-1.1789,57007.4,0,0,0,-0.0172908,-0.00730062,7.0424,0
0.06,1.15099,1.04118,1.25047,8.43983,0.0248021,4.31465,1.17667,7.15752,71.9561,19.6234,119.373,71.957,19.6237,129.185,-0.000900775,-0.000246191,-0.00148832,0.529942,1.22482,43.7246,1,301.615,154.615,10742.1,3699.95,14442.1,54998.8,14999,-1.25047,57007.4,0,0,0,-0.0172908,-0.00730062,8.44971,0
0.07,1.20133,1.05491,1.33398,9.84741,0.0289385,5.03421,1.3729,8.35125,71.9689,19.6269,119.396,71.9701,19.6273,129.208,-0.00122559,-0.000334862,-0.00202617,0.721198,1.22481,59.5048,1,301.56,154.56,14621.4,3946.33,18567.7,54998.8,14998.9,-1.33398,57007.3,0,0,0,-0.0172908,-0.00730062,9.85728,0
0.08,1.25887,1.0706,1.42944,11.2553,0.0330758,5.7539,1.56917,9.54521,72.0685,19.6541,119.367,72.0701,19.6545,129.18,-0.00160045,-0.000437183,-0.00264705,0.941906,1.22479,77.715,1,301.505,154.505,19097.4,4227.94,23325.4,54998.7,14998.9,-1.42944,57007.3,0,0,0,-0.0172908,-0.00730062,11.2651,0
0.09,1.32362,1.08825,1.53683,12.6634,0.0372139,6.47459,1.76571,10.7389,72.1666,19.6808,119.339,72.1686,19.6814,129.152,-0.00202569,-0.000553242,-0.00335091,1.19208,1.22478,98.3568,1,301.45,154.45,24170.5,4544.74,28715.2,54998.7,14998.9,-1.53683,57007.2,0,0,0,-0.0172908,-0.00730062,12.6733,0
0.1,1.39558,1.10788,1.65615,14.0718,0.041353,7.19625,1.96252,11.9323,72.2633,19.7072,119.311,72.2658,19.7079,129.125,-0.00250145,-0.000683077,-0.00413777,1.47175,1.22476,121.432,1,301.395,154.395,29840.6,4896.71,34737.3,54998.6,14998.9,-1.65615,57007.1,0,0,0,-0.0172908,-0.00730062,14.0817,0
0.11,1.47477,1.12948,1.7874,15.4806,0.0454929,7.91889,2.15959,13.1254,72.3586,19.7332,119.284,72.3617,19.734,129.099,-0.00302786,-0.000826726,-0.00500768,1.78092,1.22474,146.941,1,301.34,154.34,36107.8,5283.82,41391.6,54998.5,14998.9,-1.7874,57007.1,0,0,0,-0.0172908,-0.00730062,15.4904,0
0.12,1.56119,1.15305,1.93058,16.8896,0.0496337,8.64247,2.35692,14.3182,72.4528,19.7589,119.257,72.4564,19.7599,129.073,-0.00360506,-0.000984225,-0.00596067,2.11961,1.22472,174.886,1,301.285,154.285,42972.1,5706.05,48678.1,54998.4,14998.8,-1.93058,57007,0,0,0,-0.0172908,-0.00730062,16.8995,0
0.13,1.65486,1.17859,2.08569,18.2989,0.0537754,9.367,2.55451,15.5108,72.5459,19.7843,119.231,72.5501,19.7854,129.048,-0.00423317,-0.00115561,-0.00699678,2.48784,1.2247,205.267,1,301.23,154.23,50433.6,6163.36,56596.9,54998.3,14998.8,-2.08569,57006.9,0,0,0,-0.0172908,-0.00730062,18.3088,0
0.14,1.75579,1.20611,2.25272,19.7086,0.057918,10.0925,2.75236,16.7031,72.6379,19.8094,119.206,72.6428,19.8107,129.024,-0.00491233,-0.00134092,-0.00811604,2.88561,1.22468,238.087,1,301.175,154.175,58492.3,6655.73,65148,54998.2,14998.8,-2.25272,57006.8,0,0,0,-0.0172908,-0.00730062,19.7184,0
0.15,1.86398,1.23562,2.43168,21.1185,0.0620615,10.8188,2.95045,17.8952,72.7289,19.8342,119.181,72.7345,19.8357,129,-0.00564267,-0.00154018,-0.0093185,3.31295,1.22465,273.346,1,301.12,154.12,67148.2,7183.14,74331.3,54998.1,14998.8,-2.43168,57006.6,0,0,0,-0.0172908,-0.00730062,21.1283,0
0.16,1.97944,1.26711,2.62254,22.5287,0.0662058,11.5461,3.14879,19.087,72.8189,19.8587,119.156,72.8254,19.8605,128.977,-0.00642431,-0.00175344,-0.0106042,3.76987,1.22462,311.046,1,301.065,154.065,76401.3,7745.55,84146.9,54998,14998.7,-2.62254,57006.5,0,0,0,-0.0172908,-0.00730062,22.5385,0
0.17,2.10218,1.30058,2.82533,23.9391,0.070351,12.2743,3.34738,20.2785,72.9081,19.8831,119.132,72.9153,19.885,128.954,-0.00725739,-0.00198072,-0.0119731,4.25638,1.22459,351.187,1,301.01,154.01,86251.8,8342.94,94594.8,54997.9,14998.7,-2.82533,57006.4,0,0,0,-0.0172908,-0.00730062,23.949,0
0.18,2.23221,1.33604,3.04003,25.3499,0.0744971,13.0034,3.54621,21.4699,72.9963,19.9071,119.108,73.0044,19.9093,128.931,-0.00814201,-0.00222206,-0.0134254,4.7725,1.22456,393.77,1,300.955,153.955,96699.6,8975.28,105675,54997.8,14998.7,-3.04003,57006.3,0,0,0,-0.0172908,-0.00730062,25.3598,0
