t,x,y,z,speed
0,1,1,1,74.5908
0.01,1.598,1.048,1.44227,74.5325
0.02,2.196,1.096,1.88356,74.4744
0.03,2.794,1.144,2.32386,74.4163
0.04,3.392,1.192,2.76319,74.3583
0.05,3.99,1.24,3.20153,74.3004
0.06,4.588,1.288,3.6389,74.2425
0.07,5.186,1.336,4.07528,74.1848
0.08,5.784,1.384,4.51068,74.1271
0.09,6.382,1.432,4.9451,74.0695
0.1,6.98,1.48,5.37854,74.012
0.11,7.578,1.528,5.811,73.9546
0.12,8.176,1.576,6.24248,73.8973
0.13,8.774,1.624,6.67298,73.8401
0.14,9.372,1.672,7.10249,73.7829
0.15,9.97,1.72,7.53103,73.7259
0.16,10.568,1.768,7.95858,73.6689
0.17,11.166,1.816,8.38516,73.612
0.18,11.764,1.864,8.81075,73.5552
0.19,12.362,1.912,9.23536,73.4985
0.2,12.96,1.96,9.65899,73.4418
0.21,13.558,2.008,10.0816,73.3853
0.22,14.156,2.056,10.5033,73.3288
0.23,14.754,2.104,10.924,73.2725
0.24,15.352,2.152,11.3437,73.2162
0.25,15.95,2.2,11.7624,73.16
0.26,16.548,2.248,12.1802,73.1039
0.27,17.146,2.296,12.5969,73.0479
0.28,17.744,2.344,13.0127,72.992
0.29,18.342,2.392,13.4275,72.9361
0.3,18.94,2.44,13.8413,72.8804
0.31,19.538,2.488,14.2542,72.8247
0.32,20.136,2.536,14.666,72.7692
0.33,20.734,2.584,15.0769,72.7137
0.34,21.332,2.632,15.4868,72.6583
0.35,21.93,2.68,15.8957,72.603
0.36,22.528,2.728,16.3037,72.5478
0.37,23.126,2.776,16.7106,72.4927
0.38,23.724,2.824,17.1166,72.4376
0.39,24.322,2.872,17.5216,72.3827
0.4,24.92,2.92,17.9256,72.3279
0.41,25.518,2.968,18.3286,72.2731
0.42,26.116,3.016,18.7307,72.2185
0.43,26.714,3.064,19.1317,72.1639
0.44,27.312,3.112,19.5318,72.1094
0.45,27.91,3.16,19.9309,72.055
0.46,28.508,3.208,20.329,72.0007
0.47,29.106,3.256,20.7262,71.9465
0.48,29.704,3.304,21.1223,71.8924
0.49,30.302,3.352,21.5175,71.8384
0.5,30.9,3.4,21.9117,71.7845
0.51,31.498,3.448,22.3049,71.7307
0.52,32.096,3.496,22.6972,71.677
0.53,32.694,3.544,23.0884,71.6233
0.54,33.292,3.592,23.4787,71.5698
0.55,33.89,3.64,23.868,71.5163
0.56,34.488,3.688,24.2563,71.463
0.57,35.086,3.736,24.6437,71.4097
0.58,35.684,3.784,25.03,71.3566
0.59,36.282,3.832,25.4154,71.3035
0.6,36.88,3.88,25.7998,71.2505
0.61,37.478,3.928,26.1832,71.1976
0.62,38.076,3.976,26.5656,71.1449
0.63,38.674,4.024,26.9471,71.0922
0.64,39.272,4.072,27.3275,71.0396
0.65,39.87,4.12,27.707,70.9871
0.66,40.468,4.168,28.0855,70.9347
0.67,41.066,4.216,28.463,70.8824
0.68,41.664,4.264,28.8396,70.8302
0.69,42.262,4.312,29.2151,70.7781
0.7,42.86,4.36,29.5897,70.7261
0.71,43.458,4.408,29.9633,70.6742
0.72,44.056,4.456,30.3359,70.6224
0.73,44.654,4.504,30.7076,70.5707
0.74,45.252,4.552,31.0782,70.5191
0.75,45.85,4.6,31.4479,70.4676
0.76,46.448,4.648,31.8166,70.4161
0.77,47.046,4.696,32.1843,70.3648
0.78,47.644,4.744,32.551,70.3136
0.79,48.242,4.792,32.9168,70.2625
0.8,48.84,4.84,33.2816,70.2115
0.81,49.438,4.888,33.6453,70.1606
0.82,50.036,4.936,34.0082,70.1097
0.83,50.634,4.984,34.37,70.059
0.84,51.232,5.032,34.7308,70.0084
0.85,51.83,5.08,35.0907,69.9579
0.86,52.428,5.128,35.4496,69.9075
0.87,53.026,5.176,35.8075,69.8572
0.88,53.624,5.224,36.1644,69.807
0.89,54.222,5.272,36.5203,69.7569
0.9,54.82,5.32,36.8753,69.7069
0.91,55.418,5.368,37.2293,69.657
0.92,56.016,5.416,37.5823,69.6072
0.93,56.614,5.464,37.9343,69.5575
0.94,57.212,5.512,38.2853,69.5079
0.95,57.81,5.56,38.6354,69.4584
0.96,58.408,5.608,38.9845,69.409
0.97,59.006,5.656,39.3326,69.3597
0.98,59.604,5.704,39.6797,69.3105
0.99,60.202,5.752,40.0258,69.2614
1,60.8,5.8,40.3709,69.2125
1.01,61.398,5.848,40.7151,69.1636
1.02,61.996,5.896,41.0583,69.1148
1.03,62.594,5.944,41.4005,69.0662
1.04,63.192,5.992,41.7417,69.0176
1.05,63.79,6.04,42.082,68.9692
1.06,64.388,6.088,42.4212,68.9208
1.07,64.986,6.136,42.7595,68.8726
1.08,65.584,6.184,43.0968,68.8245
1.09,66.182,6.232,43.4332,68.7764
1.1,66.78,6.28,43.7685,68.7285
1.11,67.378,6.328,44.1029,68.6807
1.12,67.976,6.376,44.4362,68.633
1.13,68.574,6.424,44.7686,68.5854
1.14,69.172,6.472,45.1,68.5379
1.15,69.77,6.52,45.4305,68.4905
1.16,70.368,6.568,45.7599,68.4433
1.17,70.966,6.616,46.0884,68.3961
1.18,71.564,6.664,46.4159,68.349
1.19,72.162,6.712,46.7424,68.3021
1.2,72.76,6.76,47.0679,68.2552
1.21,73.358,6.808,47.3925,68.2085
1.22,73.956,6.856,47.7161,68.1619
1.23,74.554,6.904,48.0386,68.1154
1.24,75.152,6.952,48.3602,68.069
1.25,75.75,7,48.6809,68.0227
1.26,76.348,7.048,49.0005,67.9765
1.27,76.946,7.096,49.3192,67.9304
1.28,77.544,7.144,49.6369,67.8844
1.29,78.142,7.192,49.9536,67.8386
1.3,78.74,7.24,50.2693,67.7929
1.31,79.338,7.288,50.584,67.7472
1.32,79.936,7.336,50.8978,67.7017
1.33,80.534,7.384,51.2106,67.6563
1.34,81.132,7.432,51.5224,67.611
1.35,81.73,7.48,51.8332,67.5658
1.36,82.328,7.528,52.143,67.5207
1.37,82.926,7.576,52.4519,67.4758
1.38,83.524,7.624,52.7597,67.4309
1.39,84.122,7.672,53.0666,67.3862
1.4,84.72,7.72,53.3725,67.3416
1.41,85.318,7.768,53.6775,67.2971
1.42,85.916,7.816,53.9814,67.2527
1.43,86.514,7.864,54.2844,67.2084
1.44,87.112,7.912,54.5864,67.1642
1.45,87.71,7.96,54.8874,67.1202
1.46,88.308,8.008,55.1874,67.0763
1.47,88.906,8.056,55.4864,67.0324
1.48,89.504,8.104,55.7845,66.9887
1.49,90.102,8.152,56.0816,66.9451
1.5,90.7,8.2,56.3777,66.9017
1.51,91.298,8.248,56.6728,66.8583
1.52,91.896,8.296,56.9669,66.8151
1.53,92.494,8.344,57.2601,66.7719
1.54,93.092,8.392,57.5523,66.7289
1.55,93.69,8.44,57.8435,66.686
1.56,94.288,8.488,58.1337,66.6432
1.57,94.886,8.536,58.4229,66.6006
1.58,95.484,8.584,58.7112,66.558
1.59,96.082,8.632,58.9984,66.5156
1.6,96.68,8.68,59.2847,66.4733
1.61,97.278,8.728,59.57,66.4311
1.62,97.876,8.776,59.8544,66.389
1.63,98.474,8.824,60.1377,66.3471
1.64,99.072,8.872,60.4201,66.3052
1.65,99.67,8.92,60.7015,66.2635
1.66,100.268,8.968,60.9819,66.2219
1.67,100.866,9.016,61.2613,66.1805
1.68,101.464,9.064,61.5397,66.1391
1.69,102.062,9.112,61.8172,66.0979
1.7,102.66,9.16,62.0937,66.0567
1.71,103.258,9.208,62.3692,66.0157
1.72,103.856,9.256,62.6437,65.9749
1.73,104.454,9.304,62.9172,65.9341
